date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:20	251836/251836	---M-Z	200	added ('OK')	text/html	etag:%223d7bc-60db4fd1de5e6-gzip%22	https://themesbrand.com/velzon/html/master/dashboard-analytics.html	C:/My%20Web%20Sites/Velzon/themesbrand.com/velzon/html/master/dashboard-analytics.html	(from )
22:47:20	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-607430e6e63c6%22	https://themesbrand.com/robots.txt		(from )
22:47:20	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-60db4fd1a7ae3-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/My%20Web%20Sites/Velzon/themesbrand.com/velzon/html/master/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesbrand.com/velzon/html/master/dashboard-analytics.html)
22:47:20	113853/113853	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221bcbd-60db4fd109799%22	https://themesbrand.com/velzon/html/master/assets/images/favicon.ico	C:/My%20Web%20Sites/Velzon/themesbrand.com/velzon/html/master/assets/images/favicon.ico	(from https://themesbrand.com/velzon/html/master/dashboard-analytics.html)
22:47:21	1357/1357	---M-Z	200	added ('OK')	application/javascript	etag:%2254d-60db4fd11fefa-gzip%22	https://themesbrand.com/velzon/html/master/assets/js/layout.js	C:/My%20Web%20Sites/Velzon/themesbrand.com/velzon/html/master/assets/js/layout.js	(from https://themesbrand.com/velzon/html/master/dashboard-analytics.html)
22:47:21	283786/283786	---M-Z	200	added ('OK')	text/css	etag:%224548a-60db4fd0ec2d7-gzip%22	https://themesbrand.com/velzon/html/master/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Velzon/themesbrand.com/velzon/html/master/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/master/dashboard-analytics.html)
22:47:21	607127/607127	---MCZ	200	added ('OK')	text/css	etag:%2294397-60db4fd0ec2d7-gzip%22	https://themesbrand.com/velzon/html/master/assets/css/icons.min.css	C:/My%20Web%20Sites/Velzon/themesbrand.com/velzon/html/master/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/master/dashboard-analytics.html)
22:47:21	441477/441477	---M-Z	200	added ('OK')	text/css	etag:%226bc85-6103c8c6ebc81-gzip%22	https://themesbrand.com/velzon/html/master/assets/css/app.min.css	C:/My%20Web%20Sites/Velzon/themesbrand.com/velzon/html/master/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/master/dashboard-analytics.html)
22:47:21	44/44	---M--	200	added ('OK')	text/css	etag:%222c-60db4fd0ec2d7%22	https://themesbrand.com/velzon/html/master/assets/css/custom.min.css	C:/My%20Web%20Sites/Velzon/themesbrand.com/velzon/html/master/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/master/dashboard-analytics.html)
22:47:22	319348/319348	---M-Z	200	added ('OK')	text/html	etag:%224df74-60db4fd1e62e7-gzip%22	https://themesbrand.com/velzon/html/master/index.html	C:/My%20Web%20Sites/Velzon/themesbrand.com/velzon/html/master/index.html	(from https://themesbrand.com/velzon/html/master/dashboard-analytics.html)
